SubjectTag	SubjectID	SAMPLE_RACE	SAMPLE_SEX	ASVAB-8
100	1	3	2	-4
200	2	3	2	52
300	3	3	2	72
400	4	3	2	62
500	5	3	1	55
600	6	3	1	68
700	7	3	1	35
800	8	3	2	48
900	9	3	1	46
1000	10	3	2	53
1100	11	3	1	51
1200	12	3	2	56
1300	13	3	1	30
1400	14	3	2	53
1500	15	3	1	60
1600	16	3	2	58
1700	17	3	1	58
1800	18	3	1	61
1900	19	3	2	-4
2000	20	3	2	54
2100	21	3	2	64
2200	22	3	2	45
2300	23	3	1	62
2400	24	3	1	47
2500	25	3	2	62
2600	26	3	1	61
2700	27	3	2	60
2800	28	3	2	50
2900	29	3	2	59
3000	30	3	2	59
3100	31	1	1	-4
3200	32	1	2	-4
3300	33	1	1	-4
3400	34	3	1	42
3500	35	3	2	50
3600	36	3	1	-4
3700	37	3	2	53
3800	38	3	2	50
3900	39	3	1	16
4000	40	3	1	50
4100	41	3	1	55
4200	42	3	1	38
4300	43	3	2	42
4400	44	3	2	52
4500	45	3	1	50
4600	46	3	2	73
4700	47	3	1	51
4800	48	3	1	50
4900	49	3	2	80
5000	50	3	2	63
5100	51	3	1	-4
5200	52	3	1	62
5300	53	1	1	36
5400	54	3	1	-4
5500	55	3	1	-4
5600	56	3	2	36
5700	57	3	2	53
5800	58	3	2	83
5900	59	3	1	67
6000	60	3	1	41
6100	61	3	2	70
6200	62	3	2	25
6300	63	3	1	61
6400	64	3	1	40
6500	65	3	2	68
6600	66	3	1	27
6700	67	3	1	72
6800	68	3	2	78
6900	69	3	1	54
7000	70	3	1	-4
7100	71	3	1	23
7200	72	3	2	56
7300	73	3	1	51
7400	74	3	2	51
7500	75	3	2	58
7600	76	3	1	36
7700	77	3	2	41
7800	78	3	2	55
7900	79	3	1	60
8000	80	3	1	27
8100	81	3	1	34
8200	82	2	1	15
8300	83	2	1	28
8400	84	2	1	2
8500	85	2	1	5
8600	86	2	2	15
8700	87	2	1	32
8800	88	2	1	68
8900	89	2	2	55
9000	90	3	1	54
9100	91	3	2	61
9200	92	3	2	49
9300	93	3	1	43
9400	94	3	1	-4
9500	95	3	2	19
9600	96	3	2	54
9700	97	3	2	49
9800	98	3	2	57
9900	99	3	2	-4
10000	100	3	2	56
10100	101	3	1	51
10200	102	3	2	47
10300	103	3	1	42
10400	104	3	2	54
10500	105	3	2	60
10600	106	3	1	62
10700	107	3	1	70
10800	108	3	1	83
10900	109	3	2	35
11000	110	3	1	62
11100	111	3	2	63
11200	112	3	2	33
11300	113	3	1	42
11400	114	3	1	40
11500	115	3	2	50
11600	116	3	2	54
11700	117	3	1	32
11800	118	3	2	42
11900	119	3	1	34
12000	120	3	1	55
12100	121	3	2	49
12200	122	3	1	47
12300	123	3	1	59
12400	124	3	2	27
12500	125	3	1	34
12600	126	3	1	40
12700	127	3	1	18
12800	128	3	2	61
12900	129	3	1	36
13000	130	3	2	-4
13100	131	3	2	-4
13200	132	3	2	-4
13300	133	3	2	52
13400	134	3	1	39
13500	135	3	1	45
13600	136	3	2	19
13700	137	3	2	74
13800	138	3	2	84
13900	139	3	1	46
14000	140	3	2	50
14100	141	3	2	46
14200	142	3	1	-4
14300	143	3	2	42
14400	144	3	2	46
14500	145	3	1	39
14600	146	3	1	40
14700	147	3	2	66
14800	148	3	1	47
14900	149	3	2	50
15000	150	3	1	49
15100	151	3	2	44
15200	152	3	2	60
15300	153	3	2	-4
15400	154	3	2	-4
15500	155	3	1	48
15600	156	3	1	43
15700	157	3	2	61
15800	158	3	2	44
15900	159	3	2	72
16000	160	3	2	59
16100	161	3	2	44
16200	162	3	1	60
16300	163	3	1	56
16400	164	3	2	27
16500	165	3	2	54
16600	166	3	1	54
16700	167	3	2	60
16800	168	2	1	32
16900	169	2	2	42
17000	170	3	2	-4
17100	171	3	1	20
17200	172	3	2	13
17300	173	3	1	38
17400	174	1	2	50
17500	175	3	2	-4
17600	176	3	2	57
17700	177	3	1	39
17800	178	3	1	63
17900	179	3	2	14
18000	180	3	2	65
18100	181	3	1	-4
18200	182	3	1	-4
18300	183	3	2	54
18400	184	3	2	38
18500	185	3	1	32
18600	186	3	2	59
18700	187	3	1	29
