CASEID,raw
1,-14
2,43.5
3,77
4,82
5,95.5
6,102.5
7,65
8,72
9,79
10,61
11,86
12,98
13,90
14,95
15,92.5
16,83.5
17,92.5
18,103
19,-14
20,78.5
21,99.5
22,93
23,98
24,83.5
25,82
26,101
27,93
28,97.5
29,51.5
30,46
31,-14
32,-14
33,-14
34,48
35,73
36,-14
37,81
38,50
39,66.5
40,68.5
41,73
42,54
43,39.5
44,71
45,71.5
46,81
47,89.5
48,67
49,93
50,96
51,-14
52,97
53,68.5
54,-14
55,-14
56,72.5
57,68.5
58,100.5
59,101
60,84.5
61,102.5
62,63
63,99.5
64,90
65,87.5
66,46
67,103
68,103
69,86.5
70,-14
71,103.5
72,97.5
73,83
74,95
75,83.5
76,61
77,81.5
78,89.5
79,100
80,81
81,55
82,22
83,29
84,45
85,18
86,18.5
87,23.5
88,95
89,93
90,87.5
91,53
92,65
93,47.5
94,-14
95,60
96,67.5
97,81
98,87
99,-14
100,67
101,88
102,70
103,83.5
104,70.5
105,98
106,102
107,85
108,102.5
109,74
110,88.5
111,65.5
112,61.5
113,82.5
114,88.5
115,81
116,77
117,96.5
118,63.5
119,61
120,101.5
121,91.5
122,82.5
123,96
124,62.5
125,59
126,86.5
127,66
128,97
129,87.5
130,-14
131,-14
132,-14
133,76.5
134,73.5
135,64
136,44.5
137,96
138,90.5
139,85
140,83
141,86
142,-14
143,84
144,61.5
145,76.5
146,87.5
147,65
148,82.5
149,62.5
150,71
151,65.5
152,98
153,-14
154,-14
155,65.5
156,36
157,75.5
158,94
159,99
160,93.5
161,62.5
162,97
163,82.5
164,53.5
165,76.5
166,83
167,63
168,49
169,49.5
170,-14
171,94
172,22.5
173,81
174,74.5
175,-14
176,97
177,76
178,97.5
179,71.5
180,96
181,-14
182,-14
183,74.5
184,81.5
185,66.5
186,95.5
187,67.5
188,51.5
189,78.5
190,80.5
191,88
192,83.5
193,78.5
194,75.5
195,99.5
196,98.5
197,52
198,83.5
199,58.5
200,58.5
201,101.5
202,87.5
203,63.5
204,56
205,33
206,56.5
207,48
208,55.5
209,85.5
210,77.5
211,81
212,78
213,103
214,77
215,76
216,-14
217,-14
218,93
219,83.5
220,96
221,21
222,18
223,26.5
224,46
225,22.5
226,43.5
227,36.5
228,29
229,70
230,61.5
231,71.5
232,76.5
233,52
234,64
235,77.5
236,86.5
237,88
238,-14
239,35.5
240,73
241,43
242,64.5
243,86
244,91
245,97
246,82.5
247,82
248,44
249,74.5
250,-14
251,-14
252,-14
253,50
254,101.5
255,79
256,74.5
257,77
258,101
259,83.5
260,97
261,89.5
262,74.5
263,62.5
264,97.5
265,97.5
266,-14
267,47
268,80.5
269,87.5
270,82
271,69.5
272,99
273,89.5
274,94.5
275,78
276,72
277,64
278,75
279,73.5
280,91.5
281,94
282,90.5
283,59
284,71
285,51.5
286,71.5
287,71.5
288,52
289,57
290,37
291,66.5
292,99.5
293,94
294,72.5
295,55
296,59.5
297,87
298,43.5
299,44
300,23.5
301,56.5
302,32
303,34
304,26.5
305,68.5
306,66
307,83.5
308,45.5
309,60.5
310,55
311,45
312,70.5
313,62
314,-14
315,25
316,49
317,92.5
318,45
319,83.5
320,82.5
321,82.5
322,71.5
323,78
324,39
325,81.5
326,-14
327,92
328,-14
329,27.5
330,45
331,35
332,61
333,79
334,61.5
335,77
336,52.5
337,19.5
338,47
339,38
340,51.5
341,83.5
342,96.5
343,22
344,95
345,70.5
346,77
347,87
348,79
349,69
350,68
351,59
352,82
353,74
354,90
355,70
356,77.5
357,84
358,65.5
359,69.5
360,91
361,95.5
362,50
363,64
364,94.5
365,80.5
366,74
367,91.5
368,92
369,99.5
370,95.5
371,80.5
372,89
373,50.5
374,50.5
375,42
376,95.5
377,65
378,63
379,18.5
380,38.5
381,85
382,31.5
383,58.5
